Structure,Mixed glass,Glass wool,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Glass wool,Broth,Broth,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Broth,Broth,Mixed glass,Glass wool,Broth,Broth,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Mixed glass,Broth,Broth,Broth,Broth,Glass wool,Glass wool,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Mixed glass,Glass wool,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Broth,Mixed glass,Broth,Glass wool,Broth,Glass wool,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass
Substrate,Glucose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose
Day,2,5,2,2,5,5,1,2,1,2,2,5,5,1,1,5,2,1,5,2,5,2,5,1,5,5,1,1,1,1,5,1,1,5,5,5,5,1,2,5,5,1,5,1,5,2,5,2,2,5,1,5,1,5,1,1,5,2,1,5,2,2,1,1
Sample,MG12,GC1,GG9,MC12,GG4,MC4,GG5,MG9,GG6,GG10,BG12,BG1,MC3,MG5,MG8,BG3,BG9,GC7,BC11,BC9,MC1,GC9,BC3,BC8,GG12,MG4,GC5,MC7,GC8,MG6,MG2,BG8,BG5,GC2,MG1,BG2,BC4,BG7,BG10,GG1,GG3,GG8,BC1,MG7,GC4,MC9,MC2,GC10,MG10,MG3,MC6,BC2,BG6,BG4,MC5,BC6,GG2,BC12,GG7,GC3,MC10,GC11,BC7,MC8
OTU_5,2052.631579,2428.571429,4911.764706,27648.64865,2103.448276,22585.85859,2925.925926,3239.43662,1055.555556,2928.571429,1000,1750,8529.411765,10488.88889,6377.358491,1403.225806,733.3333333,1301.587302,43.47826087,6023.255814,11140.35088,1135.135135,2578.947368,2666.666667,2250,1942.857143,3090.909091,14401.78571,3489.795918,2620.689655,187.5,1687.5,1793.103448,2457.627119,3417.582418,979.1666667,2553.191489,2344.827586,1392.857143,3100.628931,1724.137931,1688.311688,1822.580645,6852.941176,4322.580645,30320,10507.04225,1728.571429,1000,3627.45098,6220.238095,1277.777778,2541.666667,1648.148148,7314.009662,3358.974359,2452.830189,1578.947368,3500,5500,40160,3361.111111,4558.823529,6357.142857
OTU_454,0,0,0,40.54054054,34.48275862,10.1010101,0,28.16901408,0,0,0,0,0,22.22222222,37.73584906,0,0,0,0,0,35.0877193,0,0,0,0,0,0,26.78571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,0,0,0,39.21568627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_631,0,12.98701299,0,162.1621622,0,50.50505051,0,0,37.03703704,0,17.85714286,0,19.60784314,44.44444444,18.86792453,0,0,0,0,0,17.54385965,0,0,0,0,0,30.3030303,107.1428571,0,0,0,0,0,0,0,0,21.27659574,0,0,0,68.96551724,64.93506494,0,29.41176471,0,53.33333333,42.25352113,0,0,0,35.71428571,0,0,0,48.30917874,0,0,0,0,0,120,27.77777778,0,30.6122449
OTU_617,17.54385965,0,58.82352941,67.56756757,0,20.2020202,0,0,0,0,0,0,0,44.44444444,0,0,0,0,0,23.25581395,17.54385965,0,0,0,0,0,0,17.85714286,0,0,0,0,34.48275862,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,14.08450704,0,0,0,11.9047619,0,0,0,0,25.64102564,0,0,0,0,53.33333333,0,0,10.20408163
OTU_625,140.3508772,259.7402597,411.7647059,5013.513514,68.96551724,2252.525253,74.07407407,591.5492958,907.4074074,476.1904762,500,704.5454545,294.1176471,3355.555556,716.9811321,274.1935484,266.6666667,269.8412698,130.4347826,604.6511628,1087.719298,432.4324324,0,644.4444444,0,0,606.0606061,3616.071429,428.5714286,241.3793103,125,187.5,1034.482759,372.8813559,219.7802198,62.5,510.6382979,482.7586207,71.42857143,232.7044025,189.6551724,623.3766234,435.483871,1382.352941,64.51612903,2573.333333,1000,428.5714286,200,98.03921569,541.6666667,111.1111111,520.8333333,1518.518519,845.410628,794.8717949,641.509434,263.1578947,470.5882353,333.3333333,4653.333333,611.1111111,1264.705882,1622.44898
OTU_788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.03703704,0,0,0,0,0,0,0,0,0,0,0,0
OTU_608,0,0,0,13.51351351,0,0,0,0,0,0,0,0,19.60784314,0,18.86792453,0,0,0,0,23.25581395,0,0,0,0,0,0,0,8.928571429,0,0,0,0,0,0,0,0,0,0,71.42857143,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,30.6122449
OTU_494,17.54385965,12.98701299,58.82352941,297.2972973,34.48275862,111.1111111,0,98.5915493,0,47.61904762,0,68.18181818,39.21568627,177.7777778,37.73584906,0,0,0,0,139.5348837,17.54385965,81.08108108,52.63157895,133.3333333,0,0,0,116.0714286,102.0408163,0,0,125,34.48275862,33.89830508,21.97802198,0,127.6595745,34.48275862,0,56.60377358,17.24137931,90.90909091,0,29.41176471,0,146.6666667,14.08450704,14.28571429,0,19.60784314,5.952380952,37.03703704,41.66666667,166.6666667,38.647343,102.5641026,75.47169811,26.31578947,0,119.047619,253.3333333,0,88.23529412,0
OTU_580,0,0,88.23529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.54385965,0,52.63157895,0,0,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16901408,114.2857143,0,0,0,0,0,18.51851852,0,0,18.86792453,52.63157895,0,0,0,0,29.41176471,0
