Structure,Broth,Broth,Broth,Broth,Mixed glass,Broth,Broth,Glass wool,Mixed glass,Broth,Mixed glass,Mixed glass,Glass wool,Broth,Mixed glass,Mixed glass,Glass wool,Broth,Glass wool,Glass wool,Mixed glass,Mixed glass,Mixed glass,Glass wool,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Broth,Glass wool,Glass wool,Broth,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass,Broth,Mixed glass,Glass wool,Broth,Glass wool,Mixed glass,Mixed glass,Glass wool,Glass wool,Broth,Broth,Broth,Mixed glass,Broth,Glass wool,Broth,Broth,Mixed glass,Glass wool,Glass wool,Broth,Broth,Mixed glass,Glass wool,Glass wool,Mixed glass,Mixed glass,Mixed glass
Substrate,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose
Day,2,1,1,5,2,1,2,2,2,2,5,1,2,1,5,5,5,5,2,5,2,2,5,1,1,1,2,5,2,1,2,1,5,2,2,5,2,5,1,1,5,1,5,5,1,1,5,1,1,2,5,2,2,2,5,1,1,2,5,5,5,1,5,2,1,2,2,5,1,5,1
Sample,BG9,BC7,BC5,BG1,MC11,BC8,BC10,GG9,MG9,BG12,MC3,MC8,GG11,BG6,MG1,MC2,GC3,BC1,GC9,GG1,MC12,MG12,MG2,GC5,GC7,MG8,GG12,BG3,MG10,GG8,MG11,BG8,GC1,GC12,BG10,GC2,BG11,MG4,GC8,MG7,GG2,BC6,MC1,BG2,MG6,GG6,BG4,GG5,MC5,MC9,GG3,GG10,BC9,BC11,BC2,MG5,BG7,GC10,BC3,BC4,MG3,GG7,GG4,BC12,BG5,MC10,GC11,GC4,MC6,MC4,MC7
OTU1420,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,2558.139535,5312.5,3633.333333,483.3333333,3725,6975,8657.894737,6805.555556,4259.259259,3354.83871,4813.953488,12033.33333,11638.88889,3536.585366,1666.666667,5745.098039,2763.636364,1500,13558.13953,4283.018868,1606.060606,8704.545455,470.5882353,9514.285714,10953.48837,6000,2508.77193,76.92307692,3216.216216,14108.10811,3571.428571,2952.380952,6000,6739.130435,4666.666667,3271.186441,3657.142857,4920,13051.28205,952.3809524,2363.636364,640,5372.881356,1255.319149,9028.571429,16060.60606,1173.076923,2815.789474,4777.777778,18475,5053.571429,12589.74359,4761.904762,7805.555556,661.5384615,1141.176471,3377.777778,12894.73684,3893.939394,1166.666667,1630.434783,10078.94737,6000,6263.157895,5628.571429,4205.128205,11000,2844.444444,9000,5309.090909,6250
OTU1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU41,69.76744186,31.25,66.66666667,16.66666667,50,0,105.2631579,138.8888889,0,32.25806452,0,100,222.2222222,195.1219512,70.1754386,19.60784314,18.18181818,0,116.2790698,18.86792453,30.3030303,68.18181818,39.21568627,114.2857143,69.76744186,257.1428571,0,0,81.08108108,108.1081081,57.14285714,142.8571429,0,108.6956522,111.1111111,0,142.8571429,40,76.92307692,0,22.72727273,0,50.84745763,85.10638298,142.8571429,303.030303,0,26.31578947,133.3333333,0,0,25.64102564,0,83.33333333,0,11.76470588,222.2222222,52.63157895,60.60606061,55.55555556,0,78.94736842,17.85714286,26.31578947,57.14285714,25.64102564,113.6363636,0,85.71428571,0,0
OTU2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU719,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1515,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,0,0,0,0,26.31578947,0,0,0,26.31578947,0,0,0,0,0,0,0,0,0
OTU96,511.627907,281.25,166.6666667,16.66666667,25,450,289.4736842,222.2222222,74.07407407,483.8709677,0,466.6666667,222.2222222,317.0731707,245.6140351,58.82352941,54.54545455,25,348.8372093,18.86792453,121.2121212,295.4545455,0,142.8571429,116.2790698,657.1428571,0,0,243.2432432,108.1081081,28.57142857,190.4761905,40,65.2173913,527.7777778,33.89830508,171.4285714,160,230.7692308,47.61904762,45.45454545,120,186.440678,170.212766,400,424.2424242,153.8461538,26.31578947,311.1111111,200,35.71428571,153.8461538,261.9047619,250,0,0,488.8888889,157.8947368,181.8181818,0,43.47826087,157.8947368,35.71428571,315.7894737,257.1428571,0,181.8181818,22.22222222,200,90.90909091,93.75
OTU3,11511.62791,20156.25,14316.66667,900,4275,24875,26868.42105,11138.88889,6333.333333,18516.12903,9325.581395,17566.66667,18777.77778,15121.95122,6315.789474,7725.490196,3563.636364,7400,16767.44186,5735.849057,2000,13272.72727,2823.529412,6800,8325.581395,18400,2052.631579,230.7692308,10945.94595,19486.48649,7000,13523.80952,4820,7369.565217,15777.77778,4491.525424,15571.42857,10620,10205.12821,1619.047619,4000,1600,9423.728814,5468.085106,16685.71429,24484.84848,4403.846154,14421.05263,13000,17325,12214.28571,21000,17238.09524,24388.88889,2076.923077,1294.117647,15288.88889,11763.15789,11060.60606,4416.666667,4434.782609,11052.63158,8571.428571,21973.68421,15457.14286,4435.897436,9795.454545,5200,7685.714286,11454.54545,5625
OTU1262,0,0,0,0,0,0,52.63157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU241,0,0,33.33333333,0,0,0,0,27.77777778,0,64.51612903,23.25581395,33.33333333,0,24.3902439,0,0,18.18181818,25,0,37.73584906,60.60606061,0,0,0,46.51162791,28.57142857,0,0,27.02702703,54.05405405,0,0,40,21.73913043,111.1111111,0,28.57142857,0,51.28205128,0,0,0,50.84745763,42.55319149,114.2857143,30.3030303,38.46153846,0,44.44444444,25,0,0,23.80952381,27.77777778,15.38461538,11.76470588,44.44444444,0,15.15151515,55.55555556,0,26.31578947,0,26.31578947,57.14285714,0,45.45454545,0,28.57142857,18.18181818,0
OTU895,0,0,0,0,0,0,0,0,0,32.25806452,0,0,0,0,0,0,0,0,0,18.86792453,0,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,21.73913043,0,0,0,0,25.64102564,0,22.22222222,0,0,0
OTU638,0,0,16.66666667,0,0,25,0,27.77777778,0,0,0,33.33333333,0,24.3902439,0,0,0,0,23.25581395,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,20,0,0,0,0,0,0,0,22.72727273,0,16.94915254,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,22.22222222,0,0,0,0,0,0,0,0,25.64102564,0,0,0,0,0
OTU411,46.51162791,0,33.33333333,0,0,0,26.31578947,0,0,0,23.25581395,0,0,0,0,19.60784314,0,25,23.25581395,18.86792453,0,22.72727273,0,28.57142857,0,0,0,0,27.02702703,27.02702703,0,0,20,21.73913043,0,0,0,20,51.28205128,0,0,0,16.94915254,0,0,0,0,0,44.44444444,25,0,0,0,0,0,0,0,0,0,0,0,0,17.85714286,52.63157895,0,0,0,0,0,18.18181818,0
